INFO - 2024-01-07 22:38:09,566 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:09,566 - Compute Discriminant
DEBUG - 2024-01-07 22:38:09,566 - Root computation
INFO - 2024-01-07 22:38:13,491 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:13,491 - Compute Discriminant
DEBUG - 2024-01-07 22:38:13,491 - Root computation
INFO - 2024-01-07 22:38:14,194 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:14,194 - Compute Discriminant
DEBUG - 2024-01-07 22:38:14,194 - Root computation
INFO - 2024-01-07 22:38:14,679 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:14,679 - Compute Discriminant
DEBUG - 2024-01-07 22:38:14,685 - Root computation
INFO - 2024-01-07 22:38:14,849 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:14,850 - Compute Discriminant
DEBUG - 2024-01-07 22:38:14,850 - Root computation
INFO - 2024-01-07 22:38:15,003 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,003 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,003 - Root computation
INFO - 2024-01-07 22:38:15,160 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,160 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,160 - Root computation
INFO - 2024-01-07 22:38:15,303 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,303 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,303 - Root computation
INFO - 2024-01-07 22:38:15,477 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,477 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,477 - Root computation
INFO - 2024-01-07 22:38:15,621 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,622 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,622 - Root computation
INFO - 2024-01-07 22:38:15,801 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,801 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,801 - Root computation
INFO - 2024-01-07 22:38:15,942 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:15,942 - Compute Discriminant
DEBUG - 2024-01-07 22:38:15,942 - Root computation
INFO - 2024-01-07 22:38:16,127 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:16,127 - Compute Discriminant
DEBUG - 2024-01-07 22:38:16,127 - Root computation
INFO - 2024-01-07 22:38:16,540 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:16,540 - Compute Discriminant
DEBUG - 2024-01-07 22:38:16,540 - Root computation
INFO - 2024-01-07 22:38:16,690 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:16,690 - Compute Discriminant
DEBUG - 2024-01-07 22:38:16,690 - Root computation
INFO - 2024-01-07 22:38:16,861 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:16,861 - Compute Discriminant
DEBUG - 2024-01-07 22:38:16,861 - Root computation
INFO - 2024-01-07 22:38:17,592 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:17,592 - Compute Discriminant
DEBUG - 2024-01-07 22:38:17,592 - Root computation
INFO - 2024-01-07 22:38:17,717 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:17,717 - Compute Discriminant
DEBUG - 2024-01-07 22:38:17,717 - Root computation
INFO - 2024-01-07 22:38:17,893 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:17,893 - Compute Discriminant
DEBUG - 2024-01-07 22:38:17,893 - Root computation
INFO - 2024-01-07 22:38:18,044 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,044 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,044 - Root computation
INFO - 2024-01-07 22:38:18,223 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,223 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,223 - Root computation
INFO - 2024-01-07 22:38:18,389 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,389 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,389 - Root computation
INFO - 2024-01-07 22:38:18,536 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,536 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,536 - Root computation
INFO - 2024-01-07 22:38:18,704 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,704 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,704 - Root computation
INFO - 2024-01-07 22:38:18,827 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,827 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,827 - Root computation
INFO - 2024-01-07 22:38:18,980 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:18,980 - Compute Discriminant
DEBUG - 2024-01-07 22:38:18,980 - Root computation
INFO - 2024-01-07 22:38:24,299 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:24,299 - Compute Discriminant
DEBUG - 2024-01-07 22:38:24,299 - Root computation
INFO - 2024-01-07 22:38:24,430 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:24,430 - Compute Discriminant
DEBUG - 2024-01-07 22:38:24,430 - Root computation
INFO - 2024-01-07 22:38:24,582 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:24,582 - Compute Discriminant
DEBUG - 2024-01-07 22:38:24,582 - Root computation
INFO - 2024-01-07 22:38:24,710 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:24,710 - Compute Discriminant
DEBUG - 2024-01-07 22:38:24,710 - Root computation
INFO - 2024-01-07 22:38:24,891 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:24,892 - Compute Discriminant
DEBUG - 2024-01-07 22:38:24,892 - Root computation
INFO - 2024-01-07 22:38:25,016 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:25,016 - Compute Discriminant
DEBUG - 2024-01-07 22:38:25,016 - Root computation
INFO - 2024-01-07 22:38:40,827 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:40,827 - Compute Discriminant
DEBUG - 2024-01-07 22:38:40,827 - Root computation
INFO - 2024-01-07 22:38:41,016 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:41,016 - Compute Discriminant
DEBUG - 2024-01-07 22:38:41,016 - Root computation
INFO - 2024-01-07 22:38:41,157 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:41,157 - Compute Discriminant
DEBUG - 2024-01-07 22:38:41,157 - Root computation
INFO - 2024-01-07 22:38:41,345 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:41,345 - Compute Discriminant
DEBUG - 2024-01-07 22:38:41,345 - Root computation
INFO - 2024-01-07 22:38:41,512 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:41,512 - Compute Discriminant
DEBUG - 2024-01-07 22:38:41,512 - Root computation
INFO - 2024-01-07 22:38:41,703 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:41,704 - Compute Discriminant
DEBUG - 2024-01-07 22:38:41,704 - Root computation
INFO - 2024-01-07 22:38:47,555 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:47,555 - Compute Discriminant
DEBUG - 2024-01-07 22:38:47,555 - Root computation
INFO - 2024-01-07 22:38:52,214 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:52,214 - Compute Discriminant
DEBUG - 2024-01-07 22:38:52,215 - Root computation
INFO - 2024-01-07 22:38:52,349 - Quadratic Formula: 1*x^2 + -2*x + c
DEBUG - 2024-01-07 22:38:52,349 - Compute Discriminant
DEBUG - 2024-01-07 22:38:52,350 - Root computation
